company_name,mentioned_times
['UK EV startup Volta Trucks'],1
['China’s IoT tech startup G7'],1
"['Air transportation startup\xa0Avelo Airlines', '42M in Series B funding to offer affordable travel and low fares starting']",1
['Luxury electric vehicle startup and\xa0Tesla rival Lucid Motors’ market cap'],1
['Self-driving tech startup Nuro'],1
['Alibaba'],1
['China’s driverless car startup WeRide valued'],1
['Self-driving truck startup Plus.ai to go public in'],1
Drivin,1
"['Applied Intuition, a less known autonomous vehicle testing startup,']",1
